# Teff logg B vsini
3455 4.078 1.711 33.509
5280 2.953 0.798 23.251
5073 5.114 1.544 13.315
3132 3.23 1.004 44.307
4342 4.277 2.997 26.628
6392 2.379 0.488 30.118
6571 3.798 1.448 39.322
4629 2.671 2.035 22.188
3841 4.834 0.088 52.647
5892 3.697 2.456 8.013
5926 5.237 0.149 44.713
3868 3.295 2.564 13.721
4656 4.198 1.322 29.665
6605 2.27 1.955 26.175
6428 3.922 2.87 22.587
4369 2.734 0.409 39.722
3159 4.76 1.605 7.554
5108 3.584 1.112 52.186
5307 4.48 1.796 43.219
3490 2.551 0.929 19.102
4046 4.955 2.687 55.671
6221 3.014 0.602 4.056
6806 4.666 1.142 10.331
4989 3.49 2.149 48.09
3543 4.016 0.345 22.797
5719 2.827 2.384 33.055
5540 4.112 0.777 6.817
3724 2.92 1.739 51.45
4809 4.574 0.73 19.269
6984 3.395 2.723 36.403
6041 5.047 2.185 32.822
4224 3.109 1.271 29.332
3311 4.386 2.326 45.289
5488 2.459 0.192 14.297
5162 4.855 2.529 25.955
3104 3.676 0.022 36.212
4425 3.83 2.013 10.906
6374 2.639 1.475 48.666
6662 4.291 0.562 54.934
4602 2.365 2.929 3.319
3922 5.141 0.984 39.901
5871 3.202 1.569 15.784
5755 4.129 2.641 15.345
3947 2.339 0.65 46.335
4516 5.168 1.845 27.8
6715 3.364 0.885 31.292
6256 4.689 0.297 37.879
4447 3.655 2.429 20.747
3018 3.85 1.188 50.35
5218 2.806 2.101 5.715
5385 4.886 1.37 17.262
3318 3.083 1.91 41.378
4156 4.412 0.105 2.217
6081 2.619 2.613 53.834
6884 3.944 1.65 49.713
4817 2.899 1.063 11.954
3652 4.594 2.822 34.683
5578 3.562 0.455 24.423
5649 4.505 2.061 53.288
3583 3.464 1.43 8.654
4887 4.043 2.483 38.244
6812 2.989 0.07 21.11
6151 4.314 1.03 27.705
4084 2.53 1.521 31.196
3389 4.975 0.514 12.674
5316 3.181 2.974 43.665
5021 3.761 0.685 34.587
3213 2.708 2.771 24.327
4253 4.787 0.825 47.042
6452 3.744 1.693 9.284
6521 5.069 2.278 5.156
4711 3.274 0.238 56.773
3750 4.219 2.23 17.626
5949 2.437 1.222 41.741
5955 4.653 2.332 21.763
3780 3.503 0.2 38.897
4695 4.003 2.192 8.438
6511 2.842 1.279 53.072
6455 4.47 0.741 43.869
4278 2.562 2.732 12.877
3191 4.945 0.788 30.556
5008 3.024 1.748 27.065
5341 3.909 0.967 9.5
3392 2.747 1.554 47.26
4071 4.746 0.546 23.675
6128 3.597 2.913 33.933
6842 5.225 2.0 42.382
4892 3.305 1.461 18.265
3573 4.189 2.516 56.569
5632 2.28 0.008 4.954
5576 4.278 1.612 31.937
3627 2.378 1.12 28.447
4839 5.128 2.877 46.113
6897 3.217 0.417 15.121
6075 4.845 1.333 5.926
4126 3.687 1.965 50.558
3336 3.82 0.161 20.112
5395 2.649 2.574 37.247
5188 5.034 0.329 54.057
3013 3.122 2.369 2.441
4457 4.371 1.125 40.732
6273 2.472 2.134 16.615
6690 4.1 2.675 25.056
4513 2.93 0.588 35.315
3960 4.564 1.784 11.744
5776 3.405 0.916 49.503
5845 3.98 0.5 37.059
3920 2.864 2.961 19.926
4616 4.631 1.016 51.23
6682 3.525 1.509 6.596
6345 4.92 2.468 14.504
4419 3.048 0.053 45.495
3113 4.445 2.046 28.688
5180 2.587 1.413 32.18
5481 4.724 2.24 48.885
3282 3.619 1.233 11.127
4243 3.888 2.287 35.557
6050 2.769 0.249 25.297
6983 4.164 0.833 16.428
4783 2.305 1.699 40.543
3745 5.2 0.693 3.111
5554 3.331 2.778 54.729
5748 5.105 1.174 26.823
3549 3.239 2.089 30.316
4980 4.256 0.283 13.495
6788 2.4 2.417 44.485
6247 3.795 1.829 52.401
4048 2.673 0.868 7.766
3476 4.82 2.626 39.084
5285 3.712 0.633 21.952
5110 4.349 2.832 4.282
3185 2.494 0.466 55.898
4348 5.013 1.66 18.453
6414 3.144 1.075 42.569
6612 4.54 0.112 33.692
4685 3.43 2.62 23.433
3851 4.075 1.378 47.876
5917 2.956 1.916 10.118
5889 4.425 1.486 55.493
3816 2.606 1.978 3.875
4650 4.887 0.034 43.022
6584 3.082 2.494 18.907
6387 4.616 1.581 23.033
4312 3.54 0.949 33.293
3149 3.954 2.941 10.578
5083 2.889 0.527 48.336
5250 5.169 2.758 29.915
3449 3.362 0.718 26.424
4021 4.143 1.774 44.946
6212 2.326 0.765 13.955
6753 3.86 0.227 7.36
4952 2.796 2.314 51.994
3521 4.711 1.306 22.404
5713 3.633 2.174 39.538
5518 4.8 0.567 10.674
3718 3.731 2.699 48.432
4756 3.762 0.895 25.704
6947 2.707 1.808 35.963
6016 4.241 2.349 40.083
4215 2.415 0.357 15.968
3254 5.079 2.114 55.128
5447 3.264 1.154 3.511
5152 4.044 1.944 19.466
3079 2.987 1.357 36.598
4384 4.518 2.553 6.996
6317 3.451 0.185 51.631
6656 4.985 1.101 45.041
4581 3.171 1.64 14.051
3885 4.336 0.397 32.586
5819 2.508 2.906 29.094
5811 4.959 1.728 2.035
3988 3.01 0.813 53.65
4541 4.497 2.807 17.068
6725 2.534 0.673 41.185
6309 4.024 1.257 34.915
4484 2.82 2.219 24.657
3040 4.685 0.273 49.964
5224 3.472 2.266 12.204
5422 4.214 0.082 28.048
3371 2.254 2.448 31.538
4161 5.241 1.441 15.581
6102 3.291 2.027 46.573
6925 4.78 2.986 50.152
4874 3.565 0.478 5.519
3662 3.929 1.533 37.701
5604 2.727 0.995 20.566
5659 3.834 2.601 46.806
3609 2.635 0.14 9.047
4928 4.872 1.898 34.34
6869 3.659 1.405 24.081
6156 5.149 0.443 17.805
4105 3.195 2.858 41.922
3426 4.31 1.052 5.353
5369 2.347 1.685 56.969
5043 4.59 0.849 38.438
3219 3.379 1.856 21.303
4306 4.116 0.615 53.47
6489 2.916 2.653 8.838
6546 4.405 2.066 12.423
4721 2.439 1.199 43.416
3806 5.054 2.394 27.472
5990 3.102 0.309 30.962
5986 4.399 2.485 39.77
3811 2.444 0.023 22.528
4726 5.062 1.97 52.225
6542 3.094 1.477 7.485
6486 4.583 0.517 13.776
4309 3.386 2.932 44.661
3222 4.119 0.939 26.247
5039 2.912 1.573 29.63
5372 5.155 0.768 48.159
3423 3.189 1.776 10.292
4102 4.306 0.722 33.114
6160 2.35 2.76 22.749
6874 3.839 2.175 19.138
4923 2.629 1.309 43.147
3604 4.864 2.317 4.107
5663 3.668 0.231 55.616
5607 4.774 1.812 29.374
3658 3.569 0.897 32.757
4870 3.937 2.702 14.329
6929 2.719 0.569 45.213
6107 4.208 1.156 51.512
4157 2.261 2.118 6.771
3367 5.244 0.359 36.482
5426 3.287 2.352 19.24
5220 4.03 0.177 3.395
3044 2.814 2.544 54.902
4489 4.681 1.349 15.849
6304 3.475 1.934 39.859
6721 4.964 2.896 36.241
4545 3.004 0.39 25.876
3991 4.489 1.631 48.711
5808 2.543 1.092 10.844
5814 4.991 0.676 20.718
3889 3.166 2.808 37.958
4585 4.327 0.817 5.67
6651 2.516 1.731 50.412
6314 4.051 2.268 46.26
4387 2.98 0.276 15.377
3082 4.514 2.221 31.227
5149 3.455 1.261 27.842
5450 4.234 2.018 11.892
3251 2.422 1.431 49.758
4211 5.084 2.44 24.344
6019 3.26 0.072 34.711
6952 4.795 0.984 41.335
4751 3.737 1.524 17.327
3714 3.77 0.469 53.802
5523 2.699 2.978 2.293
5717 3.865 1.397 31.161
3518 2.791 1.889 27.777
4948 4.702 0.131 43.613
6757 3.641 2.592 12.73
6216 5.175 1.677 8.585
4016 3.355 1.044 53.327
3445 4.139 2.848 21.052
5254 2.33 0.435 38.292
5079 4.609 2.657 56.718
3153 3.547 0.617 5.208
4317 3.959 1.86 41.669
6382 2.885 0.851 17.662
6580 4.42 0.311 24.278
4654 2.611 2.398 34.646
3819 4.895 1.201 9.246
5886 3.074 2.069 47.111
5921 4.545 1.286 4.748
3847 3.423 2.201 56.257
4682 4.072 0.209 18.061
6615 2.959 2.342 42.069
6418 4.355 1.757 34.192
4344 2.489 0.796 23.826
3180 5.004 2.742 47.517
5115 3.152 0.749 9.651
5281 3.79 2.91 27.323
3481 2.679 0.543 30.708
4052 4.828 1.55 13.136
6243 3.703 0.965 44.019
6784 5.099 0.005 52.867
4983 3.245 2.512 8.125
3553 4.26 1.459 38.692
5744 2.396 1.997 21.452
5549 4.17 0.414 49.358
3749 2.298 2.875 11.493
4787 5.197 1.116 35.171
6978 3.334 1.609 24.804
6047 4.73 2.572 16.921
4246 3.614 0.157 40.929
3286 3.879 1.962 2.745
5478 2.777 1.329 54.255
5183 4.915 2.142 37.552
3110 3.054 1.135 20.312
4415 4.453 2.376 50.864
6348 2.578 0.338 6.123
6687 3.974 0.926 14.977
4612 2.87 1.792 45.86
3916 4.635 0.597 28.302
5850 3.521 2.682 31.687
5780 4.094 1.504 54.443
3956 2.938 1.013 2.934
4510 4.568 2.958 40.258
6693 3.401 0.498 16.249
6277 5.029 1.41 25.422
4453 3.127 2.042 35.788
3008 4.38 0.051 11.251
5193 2.465 2.464 49.117
5390 4.849 0.257 32.303
3340 3.681 2.296 28.921
4130 3.812 1.241 45.62
6071 2.657 2.25 14.735
6894 4.285 2.787 6.312
4842 2.371 0.7 51.052
3631 5.123 1.709 19.639
5572 3.22 0.841 36.882
5627 5.219 2.425 9.892
3578 3.313 0.293 47.76
4897 4.193 2.096 23.209
6838 2.276 1.183 33.574
6125 3.904 0.643 42.741
4074 2.752 2.634 18.731
3395 4.755 0.877 56.069
5337 3.59 1.837 4.561
5012 4.475 1.071 22.122
3188 2.556 1.658 39.364
4275 4.937 0.462 7.938
6458 3.032 2.83 52.679
6515 4.66 1.914 44.262
4690 3.496 1.374 13.377
3775 3.998 2.617 30.09
5959 2.845 0.109 26.706
5945 5.064 1.946 33.362
3754 3.28 1.313 22.995
4716 4.227 2.555 48.395
6516 2.429 0.142 10.53
6448 3.754 1.104 3.91
4257 2.714 1.595 55.42
3216 4.79 0.401 18.959
5018 3.741 2.862 42.967
5319 4.32 0.604 52.043
3386 2.523 2.69 7.301
4080 4.972 0.932 39.576
6154 3.185 1.8 22.336
6817 4.51 2.387 26.479
4883 3.459 0.348 29.864
3579 4.034 2.153 14.027
5653 2.997 1.145 44.911
5582 3.939 2.725 16.043
3649 2.905 0.734 40.052
4814 4.602 1.74 3.577
6888 3.554 0.78 55.086
6085 4.879 0.196 48.46
4151 3.089 2.328 10.595
3314 4.415 1.274 36.009
5389 2.616 2.187 25.642
5214 4.695 1.465 14.093
3023 3.648 2.005 44.976
4452 3.847 0.012 29.126
6252 2.81 2.52 32.511
6711 4.135 1.561 36.661
4519 2.334 0.975 19.421
3950 5.159 2.92 51.709
5751 3.372 0.552 6.967
5867 4.296 0.887 24.595
3926 2.36 1.848 34.96
4607 5.133 0.652 12.125
6657 3.211 2.645 49.992
6370 4.862 2.105 53.608
4429 3.669 1.19 2.101
3107 3.825 2.433 41.153
5159 2.643 0.299 17.143
5491 5.04 2.603 5.491
3308 3.116 0.096 50.231
4221 4.389 1.901 20.521
6045 2.454 1.362 37.762
6989 4.106 0.446 31.463
4804 2.925 2.813 28.079
3720 4.582 1.056 46.507
5544 3.387 1.641 15.623
5722 4.671 0.061 41.866
3539 3.485 2.475 17.857
4985 4.009 1.419 56.897
6809 2.836 2.053 5.388
6226 4.488 2.966 8.998
4042 2.544 0.504 46.865
3486 4.951 1.513 24.043
5311 3.018 1.02 34.408
5104 3.915 1.695 43.381
3163 2.741 0.829 12.496
4373 4.764 2.773 30.91
6423 3.58 0.688 27.528
6602 5.231 1.226 21.234
4660 3.3 2.233 38.476
3872 4.207 0.241 8.779
5923 2.262 2.279 53.519
5895 3.805 0.373 12.956
3837 2.664 2.365 43.84
4625 4.831 1.17 27.128
6574 3.7 2.13 30.511
6397 5.119 2.717 38.929
4338 3.224 0.585 21.687
3128 4.269 1.827 53.113
5077 2.388 0.914 8.372
5275 4.548 1.621 18.31
3459 3.42 1.081 42.32
4015 4.087 2.887 4.982
6190 2.945 0.379 56.49
6775 4.364 1.341 47.325
4958 2.48 1.927 9.457
3512 5.024 0.169 34.009
5688 3.131 2.537 23.644
5508 4.93 0.953 50.63
3693 3.039 1.586 5.89
4778 4.456 0.531 37.303
6953 2.575 2.944 20.061
6010 3.994 1.985 28.486
4193 2.849 1.494 31.869
3280 4.644 2.501 15.169
5456 3.513 0.04 46.054
5131 4.173 2.307 35.367
3072 2.295 0.22 25.001
4394 5.212 2.166 49.538
6342 3.32 1.298 11.672
6630 4.739 0.714 2.499
4571 3.605 2.754 54.008
3890 3.899 0.76 16.684
5840 2.756 1.769 40.693
5786 4.806 2.841 45.436
3978 3.725 0.427 14.553
4547 3.78 1.67 32.111
6746 2.689 1.036 28.727
6287 4.247 0.12 19.873
4478 2.409 2.582 37.114
3049 5.097 1.386 6.561
5249 3.246 1.879 51.303
5416 4.062 1.218 40.504
3350 2.97 2.085 16.497
4187 4.524 0.328 54.68
6112 3.445 2.413 3.17
6915 5.003 1.872 11.055
4848 3.153 0.865 48.92
3684 4.341 2.669 25.242
5609 2.503 0.631 35.609
5680 4.431 2.215 7.7
3615 2.6 1.253 52.443
4918 4.905 2.261 21.876
6844 3.064 0.268 39.116
6182 4.622 0.806 30.27
4115 3.534 1.721 26.885
3421 3.972 0.665 44.457
5347 2.871 2.799 13.575
5053 5.187 0.486 23.401
3244 3.345 2.993 33.768
4285 4.149 1.001 10.076
6483 2.32 1.54 47.942
6552 3.878 2.453 55.82
4743 2.778 0.086 4.31
3781 4.716 2.03 42.507
5981 3.628 1.445 18.499
5974 4.717 0.433 51.389
3791 3.627 2.848 6.649
4738 3.868 1.042 37.215
6561 2.788 1.675 19.974
6474 4.16 2.588 28.855
4290 2.309 0.127 32.238
3234 5.185 1.885 14.666
5059 3.347 1.392 45.55
5352 3.961 2.079 35.722
3411 2.882 1.213 25.357
4121 4.624 2.407 49.049
6172 3.532 0.322 11.181
6854 4.904 0.86 3.272
4912 3.065 1.867 54.78
3624 4.44 0.625 16.583
5675 2.591 2.663 40.593
5619 4.342 1.247 13.446
3678 2.502 2.208 44.331
4858 4.993 0.263 26.772
6909 3.163 2.256 30.155
6119 4.535 1.715 39.03
4176 3.434 0.8 21.788
3355 4.06 2.793 52.341
5406 2.972 0.66 7.601
5239 5.086 2.999 18.398
3056 3.257 0.491 42.407
4469 4.249 1.546 4.223
6293 2.407 1.008 55.732
6740 3.779 0.092 47.828
4557 2.69 2.458 9.962
3971 4.815 1.451 33.64
5796 3.716 2.037 23.274
5834 3.893 2.359 8.271
3901 2.763 0.368 53.013
4566 4.742 2.124 21.6
6639 3.602 1.164 38.841
6333 5.207 0.58 30.397
4399 3.325 2.712 27.013
3062 4.182 0.908 43.712
5137 2.287 1.821 12.829
5462 4.649 1.087 23.515
3271 3.508 1.627 33.882
4199 3.986 0.384 9.345
6000 2.857 2.893 47.21
6963 4.462 1.934 56.404
4771 2.569 1.347 4.894
3702 4.926 2.542 42.218
5503 3.043 0.175 18.21
5697 5.018 1.591 46.167
3506 3.138 0.959 15.285
4968 4.367 2.951 31.997
6768 2.477 0.537 28.612
6197 4.082 1.499 20.162
4005 2.95 1.991 37.402
3465 4.557 0.047 5.977
5266 3.412 2.507 50.719
5067 4.274 0.214 40.78
3134 2.382 2.301 16.772
4328 5.111 1.293 54.109
6402 3.232 2.161 2.6
6568 4.837 2.747 11.8
4635 3.694 0.708 49.666
3831 3.801 1.763 25.115
5906 2.668 0.755 35.481
5933 4.196 1.843 17.232
3866 2.273 0.881 41.239
4670 5.233 2.639 2.2
6595 3.297 0.646 53.71
6430 4.763 1.184 50.118
4363 3.58 2.099 12.254
3169 3.925 0.293 35.076
5095 2.732 2.427 24.708
5301 4.951 0.102 15.737
3492 3.017 2.609 46.621
4032 4.478 1.368 28.207
6231 2.554 1.906 31.591
6804 4.019 2.819 37.863
4995 2.825 0.453 20.622
3533 4.669 1.647 50.319
5732 3.487 1.061 5.577
5538 4.571 2.481 34.281
3730 3.398 0.066 23.915
4799 4.108 2.059 46.75
6998 2.922 1.426 8.884
6036 4.388 0.51 5.3
4226 2.455 2.971 56.81
3298 5.05 1.026 17.757
5497 3.107 1.519 41.765
5164 3.826 0.823 53.419
3098 2.642 1.689 8.677
4435 4.853 0.683 38.388
6360 3.679 2.768 21.148
6667 5.144 2.227 27.412
4600 3.2 1.22 30.797
3935 4.294 2.274 12.369
5862 2.362 0.236 43.252
5761 5.164 1.32 42.867
3944 3.367 1.952 18.857
4530 4.127 0.147 55.332
6705 2.342 2.561 3.824
6258 3.853 1.602 10.414
4441 2.803 1.11 48.282
3028 4.691 2.867 22.868
5204 3.652 0.407 33.233
5379 4.409 2.685 44.784
3321 2.623 0.598 13.899
4142 4.883 1.794 29.749
6091 3.086 0.926 26.366
6882 4.597 0.342 22.248
4823 3.559 2.382 39.489
3643 3.947 1.138 7.201
5592 2.897 2.147 51.942
5647 4.039 0.728 25.756
3589 2.992 2.719 36.122
4877 4.502 0.775 10.722
6826 3.467 1.735 48.589
6145 4.978 2.322 55.186
4085 3.178 0.19 3.678
3376 4.316 2.182 40.139
5325 2.527 1.269 16.13
5023 4.784 2.011 7.055
3207 3.748 1.471 51.795
4263 3.758 2.527 19.52
6438 2.711 0.018 36.762
6527 4.222 0.98 32.637
4710 2.434 1.567 29.255
3763 5.073 0.559 45.091
5940 3.272 2.927 14.206
5965 4.005 1.019 49.231
3766 2.838 1.511 11.365
4697 4.657 0.504 35.916
6504 3.5 2.964 25.55
6468 4.942 2.048 16.35
4268 3.027 1.416 40.359
3197 4.466 2.47 3.021
5006 2.565 0.056 54.53
5331 4.75 2.291 36.968
3406 3.595 0.251 19.728
4069 3.912 2.244 51.154
6135 2.744 1.235 6.411
6829 4.186 0.695 14.864
4902 2.282 2.781 45.746
3567 5.223 0.835 29.034
5634 3.309 1.703 32.419
5562 5.13 0.286 4.459
3637 3.213 2.419 55.969
4833 4.282 1.178 18.645
6899 2.375 2.091 42.653
6066 3.817 2.628 33.461
4139 2.652 0.637 23.094
3334 4.841 1.832 47.631
5400 3.689 0.871 9.766
5202 4.375 1.664 26.578
3003 2.47 1.077 29.963
4463 5.037 2.836 13.264
6271 3.119 0.468 44.147
6699 4.561 1.38 52.592
4500 3.407 1.92 7.85
3962 4.098 0.115 39.263
5771 2.934 2.623 22.022
5855 4.634 2.195 9.524
3906 3.522 1.281 47.39
4619 3.983 2.336 23.712
