# Teff logg B vsini
3536 4.997 2.457 20.091
3501 2.65 2.176 28.022
3151 4.836 0.775 49.647
3101 3.659 2.981 4.912
3447 3.827 0.069 38.38
3426 3.568 1.794 16.744
3075 3.916 1.156 50.229
3176 2.75 2.611 12.353
3522 4.735 0.438 33.994
3562 2.584 0.906 41.909
3286 4.908 2.143 8.253
3040 3.074 0.124 46.111
3311 4.417 2.825 24.675
3346 2.885 0.364 2.361
3014 4.6 2.678 37.548
3255 3.516 1.041 27.189
3582 3.969 1.913 47.095
3472 3.315 2.382 56.315
3215 4.177 0.571 20.924
3129 2.262 1.647 31.298
3380 5.231 1.395 11.564
3383 3.715 2.401 34.28
3127 3.793 0.649 12.934
3218 2.709 1.631 50.702
3470 4.799 1.32 17.137
3585 2.46 0.289 25.068
3253 5.055 2.662 46.585
3016 3.139 1.118 8.833
3343 4.377 1.932 42.194
3313 2.949 0.879 47.374
3038 4.559 2.08 27.763
3289 3.393 0.155 38.014
3559 4.115 2.892 2.747
3524 3.273 1.86 11.951
3174 4.242 1.186 31.766
3078 2.408 2.548 21.497
3424 5.108 0.41 56.593
3449 2.318 2.227 6.282
3099 5.196 0.815 41.362
3152 3.374 2.927 24.235
3498 4.14 0.027 44.033
3538 3.483 1.246 53.253
3263 4.027 1.708 17.97
3063 2.849 0.534 35.112
3334 4.661 2.508 15.485
3359 3.04 0.657 20.665
3028 4.474 2.292 54.042
3241 2.546 1.498 9.399
3568 4.968 1.551 30.933
3458 2.808 2.769 38.847
3201 4.702 0.28 5.299
3143 3.629 2.011 49.925
3395 3.88 0.939 28.595
3408 2.638 0.135 14.107
3139 4.872 2.824 35.625
3189 3.694 0.899 18.497
3462 3.815 2.147 51.859
3572 3.163 2.616 44.372
3228 4.351 0.43 23.031
3025 2.529 1.793 40.169
3373 4.985 1.166 6.609
3319 3.466 1.657 28.929
3070 4.044 1.394 48.739
3278 2.972 2.375 4.101
3532 4.538 0.576 39.192
3493 2.382 1.045 29.546
3168 5.132 1.906 9.934
3105 3.204 0.362 54.561
3434 4.31 2.689 19.292
3417 3.303 1.425 42.72
3093 4.212 1.524 7.441
3180 2.297 0.731 45.204
3509 5.219 2.318 25.582
3544 2.873 2.037 15.946
3294 4.635 1.012 51.027
3053 3.551 2.744 13.274
3307 3.957 0.206 33.074
3347 2.619 2.994 55.394
3003 4.896 0.047 21.844
3249 3.063 2.159 32.097
3597 4.452 0.794 10.766
3483 3.604 0.513 3.269
3215 3.904 2.441 36.641
3113 2.738 1.266 26.377
3386 4.77 1.776 47.906
3389 2.507 1.206 22.562
3121 5.008 1.845 56.02
3207 3.186 0.389 11.269
3480 4.33 2.562 32.937
3591 3.668 2.094 36.984
3247 3.84 0.857 3.302
3006 2.662 2.876 48.035
3354 4.846 0.174 26.625
3300 3.227 2.636 7.743
3051 4.289 0.322 42.902
3297 2.361 1.959 25.668
3551 5.154 1.087 45.601
3511 2.996 0.618 51.813
3186 4.512 2.428 16.395
3086 3.44 1.353 33.645
3415 4.068 1.605 13.937
3436 3.53 0.235 48.921
3112 3.979 2.807 29.23
3161 2.896 0.982 39.589
3490 4.614 1.972 4.187
3526 2.271 2.253 10.383
3276 5.243 0.7 30.332
3072 3.327 1.588 19.956
3326 4.187 1.453 55.133
3365 2.761 1.712 36.251
3022 4.748 1.238 14.824
3231 3.583 2.506 52.699
3579 3.927 0.543 19.0
3464 3.087 0.824 23.064
3195 4.427 2.225 44.715
3132 2.593 0.018 6.856
3405 4.921 2.931 40.297
3402 3.116 1.892 53.954
3145 4.398 1.066 20.27
3199 2.482 2.704 30.63
3451 5.032 0.342 9.219
3566 2.684 1.374 4.729
3234 4.825 1.672 38.182
3035 3.741 0.597 27.811
3362 3.769 2.361 49.474
3332 2.429 0.461 40.857
3057 5.085 2.589 5.444
3270 3.251 1.132 43.314
3540 4.263 1.818 23.611
3506 3.418 2.849 17.843
3155 4.091 0.102 53.004
3096 2.925 2.12 15.144
3442 4.585 0.931 35.078
3430 2.826 2.48 26.925
3080 4.682 0.47 46.869
3172 3.505 1.739 2.124
3517 4.004 1.31 37.295
3557 3.35 0.092 31.516
3281 4.166 2.957 11.824
3045 2.343 0.751 56.559
3316 5.172 2.198 21.156
3341 3.651 1.002 12.539
3009 3.857 2.039 34.192
3260 2.785 0.214 16.956
3587 4.723 2.74 50.399
3477 2.572 1.521 45.919
3220 4.944 1.433 24.498
3124 3.016 2.321 41.743
3376 4.5 0.721 8.049
3375 3.021 1.057 49.276
3125 4.493 1.895 27.962
3221 2.577 0.351 38.225
3476 4.937 2.701 4.638
3586 2.78 1.67 9.182
3261 4.73 1.382 30.728
3010 3.645 2.364 20.474
3340 3.864 0.588 53.809
3315 2.337 2.58 34.874
3046 5.177 0.465 15.288
3283 3.343 1.827 53.041
3556 4.17 1.13 17.745
3516 3.511 0.098 23.568
3173 3.999 2.859 43.405
3081 2.833 0.933 5.642
3429 4.677 2.111 40.706
3441 2.919 0.479 21.307
3098 4.59 2.476 56.361
3157 3.412 1.302 11.733
3504 4.096 1.741 31.56
3539 3.257 2.96 37.393
3271 4.258 0.083 2.087
3058 2.436 2.196 46.725
3331 5.08 0.76 27.129
3361 3.746 2.048 8.193
3036 3.762 0.999 41.539
3235 2.69 2.731 24.4
3564 4.818 0.217 45.956
3450 2.477 1.436 50.49
3200 5.039 1.512 16.913
3146 3.111 0.718 34.041
3400 4.404 2.33 12.737
3407 2.6 1.848 26.582
3131 4.916 1.197 48.126
3194 3.093 2.56 3.499
3465 4.422 0.397 36.833
3580 3.576 0.866 32.732
3230 3.932 2.091 11.414
3021 2.754 0.166 56.056
3366 4.754 2.878 22.464
3327 3.322 0.325 13.901
3071 4.193 2.628 33.743
3275 2.266 1.084 16.6
3527 5.25 1.969 51.668
3491 2.901 2.437 45.403
3160 4.608 0.615 25.82
3111 3.535 1.596 42.946
3438 3.973 1.356 7.652
3417 3.435 2.804 55.224
3085 4.075 0.243 19.913
3185 2.991 1.975 30.181
3512 4.518 0.973 10.581
3553 2.366 0.692 4.332
3296 5.148 2.256 39.384
3050 3.232 1.462 29.133
3301 4.282 1.585 48.958
3355 2.669 1.234 40.395
3004 4.841 1.721 6.819
3246 3.675 0.546 44.57
3592 3.834 2.497 23.268
3481 3.179 2.216 19.151
3206 4.335 0.827 52.501
3119 2.501 2.939 14.733
3390 5.013 0.016 36.294
3387 2.733 2.815 6.626
3112 4.776 0.137 40.105
3213 3.599 2.156 22.859
3484 3.911 0.896 44.496
3598 3.068 0.428 52.037
3248 4.446 2.625 18.38
3002 2.624 1.169 35.615
3348 4.89 1.784 14.177
3309 3.558 1.384 19.303
3052 3.952 1.66 54.491
3293 2.88 0.585 9.756
3545 4.63 2.372 29.663
3510 2.29 1.903 39.363
3179 5.224 1.054 3.977
3092 3.296 2.691 48.722
3419 4.218 0.354 28.992
3435 3.211 1.533 33.01
3103 4.305 1.422 13.291
3167 2.389 2.31 51.151
3494 5.126 0.733 15.775
3533 2.965 1.015 25.465
3277 4.543 2.028 45.382
3069 3.459 0.204 7.511
3321 4.049 2.752 42.71
3374 2.524 0.056 47.836
3023 4.992 2.992 26.388
3227 3.158 0.785 36.758
3573 4.357 2.163 3.09
3463 3.699 2.444 10.642
3187 3.809 0.505 32.268
3138 2.643 1.773 21.908
3409 4.865 1.275 55.377
3394 3.623 0.652 42.365
3144 3.885 2.392 8.71
3202 2.801 1.318 46.568
3457 4.707 1.639 25.131
3567 2.553 2.671 17.147
3242 4.963 0.286 50.632
3029 3.046 1.924 12.756
3358 4.469 1.121 34.397
3333 2.854 2.083 56.772
3065 4.654 0.87 21.38
3264 3.488 2.888 31.755
3537 4.02 0.164 12.021
3497 3.369 1.195 2.764
3154 4.147 1.857 37.951
3100 2.312 0.401 27.592
3448 5.203 2.551 47.497
3422 2.413 0.812 15.361
3079 5.101 2.236 35.284
3175 3.279 0.03 18.033
3523 4.235 2.918 53.236
3558 3.388 1.7 43.963
3290 4.122 1.248 24.245
3039 2.944 2.517 41.479
3312 4.566 0.53 6.104
3342 3.132 2.289 28.478
3017 4.382 0.666 50.103
3254 2.454 1.554 5.369
3583 5.06 1.49 38.837
3468 2.715 0.27 30.87
3219 4.794 2.773 9.416
3128 3.722 0.947 54.166
3382 3.788 2.008 20.493
3379 2.255 0.196 52.851
3130 5.236 2.757 17.567
3217 3.308 1.025 34.709
3471 4.183 2.027 15.082
3581 3.523 2.308 5.826
3256 3.963 0.744 40.905
3015 2.891 1.537 23.779
3345 4.595 1.415 43.577
3310 3.079 1.766 38.444
3041 4.411 1.279 4.896
3287 2.588 2.454 49.522
3560 4.902 0.503 28.193
3521 2.745 0.784 20.209
3177 4.741 2.172 53.586
3076 3.564 0.061 8.942
3424 3.922 2.984 30.476
3445 3.664 1.152 24.665
3102 3.821 1.803 46.182
3152 2.654 0.441 8.431
3500 4.83 2.603 41.791
3535 2.489 2.134 33.824
3266 5.003 0.909 12.477
3063 3.17 2.834 50.245
3336 4.322 0.121 16.68
3356 2.977 2.676 11.548
3032 4.508 0.372 31.363
3240 3.424 1.917 21.094
3569 4.061 1.032 56.191
3455 3.223 0.563 46.917
3205 4.27 2.385 27.307
3142 2.354 1.404 37.557
3396 5.138 1.644 2.291
3411 3.334 2.521 16.349
3136 4.159 0.523 51.43
3190 2.324 1.698 13.677
3460 5.168 1.259 33.476
3575 2.819 0.04 43.177
3225 4.666 2.917 7.898
3026 3.5 0.804 45.661
3371 3.985 2.24 26.038
3322 2.564 0.952 3.671
3066 4.927 2.0 37.044
3279 3.011 0.269 26.78
3531 4.481 2.783 48.309
3496 3.635 1.564 55.851
3164 3.85 1.488 22.301
3106 2.766 2.282 32.553
3433 4.718 0.671 11.223
3421 2.68 1.943 44.775
3090 4.806 1.105 23.434
3181 3.733 2.648 40.571
3508 3.753 0.299 7.011
3548 3.097 1.33 14.563
3291 4.393 1.618 36.082
3054 2.466 0.636 18.954
3306 5.025 2.412 52.316
3350 3.4 0.42 29.949
3000 4.087 2.535 10.337
3251 2.909 1.173 54.964
3596 4.577 1.87 19.696
3486 2.425 2.902 29.386
3211 5.066 0.142 49.196
3115 3.244 2.067 4.557
3386 4.247 0.889 39.648
3392 3.475 2.188 9.98
3117 4.011 0.764 29.929
3209 2.844 2.97 19.554
3479 4.642 0.082 54.73
3594 2.302 1.3 48.465
3244 5.189 1.752 28.774
3007 3.355 0.483 39.132
3353 4.135 2.47 3.731
3304 2.792 0.711 22.661
3047 4.695 2.334 44.312
3298 3.61 1.446 6.453
3550 3.876 1.51 39.894
3515 3.033 2.729 35.794
3183 4.458 0.227 14.368
3087 2.542 2.053 52.243
3414 4.949 0.992 18.543
3440 2.441 2.348 36.581
3108 5.051 0.608 2.898
3162 3.122 1.683 47.632
3489 4.369 1.361 26.222
3529 3.711 0.329 22.105
3272 3.774 2.714 55.563
3073 2.702 1.076 10.812
3325 4.783 1.879 32.48
3369 3.269 0.918 51.41
3019 4.223 2.13 15.993
3232 2.4 0.112 33.242
3577 5.092 2.836 13.535
3468 2.93 1.805 7.286
3192 4.555 1.143 42.446
3133 3.377 2.599 25.212
3404 4.108 0.448 45.145
3398 2.866 1.466 31.919
3149 4.619 1.578 12.226
3198 3.547 0.69 56.962
3452 3.938 2.267 21.558
3563 3.287 1.985 27.382
3238 4.205 0.972 47.326
3034 2.278 2.797 2.58
3363 5.214 0.248 37.751
3328 3.587 2.944 46.322
3060 3.897 0.008 24.901
3269 2.719 2.215 42.146
3542 4.766 0.837 8.451
3502 2.612 0.557 12.995
3158 4.88 2.496 34.649
3095 3.058 1.227 17.413
3443 4.433 1.725 50.856
3427 3.144 0.185 5.132
3084 4.347 2.863 38.584
3170 2.513 0.844 28.214
3518 4.978 2.104 49.877
3554 2.634 2.573 54.411
3285 4.853 0.376 20.726
3043 3.687 1.831 31.086
3317 3.799 1.217 9.675
3337 2.378 1.615 18.246
3013 5.113 1.34 53.407
3259 3.196 2.415 15.546
3588 4.294 0.628 35.481
3473 3.447 1.097 41.313
3224 4.039 1.946 5.901
3123 2.956 0.309 43.77
3377 4.53 2.647 24.068
3378 3.455 0.074 18.394
3124 4.037 2.975 51.97
3224 2.964 0.769 14.218
3474 4.528 2.181 35.52
3589 2.369 2.462 40.067
3260 5.115 0.487 6.717
3013 3.188 1.756 44.485
3338 4.297 1.293 22.924
3316 2.63 1.504 3.988
3043 4.862 1.451 39.299
3285 3.684 2.339 29.03
3553 3.809 0.703 48.63
3517 3.147 0.985 54.45
3170 4.338 2.057 19.398
3083 2.516 0.232 29.649
3426 4.969 2.722 9.823
3443 2.602 1.368 45.317
3095 4.884 1.679 25.476
3158 3.049 0.603 42.618
3501 4.437 2.355 7.549
3541 3.597 1.886 13.386
3268 3.894 1.072 32.969
3059 2.728 2.709 15.842
3328 4.762 0.337 51.137
3364 3.29 2.844 32.201
3034 4.197 0.107 10.656
3238 2.28 2.126 55.282
3563 5.206 0.925 21.949
3453 2.863 0.456 26.479
3198 4.628 2.594 47.798
3149 3.544 1.139 3.155
3399 3.947 1.812 36.747
3405 2.939 2.271 50.589
3134 4.552 0.683 17.244
3193 3.386 1.57 34.381
3468 4.105 1.471 12.826
3578 3.261 0.252 8.722
3232 4.226 2.79 42.299
3019 2.392 0.964 25.17
3370 5.094 1.99 46.475
3324 3.708 0.842 37.912
3073 3.783 2.207 2.857
3271 2.698 0.001 47.485
3528 4.792 2.948 27.658
3489 2.445 1.73 21.396
3162 5.041 1.22 56.702
3107 3.126 2.489 12.064
3439 4.36 0.561 31.659
3413 3.024 2.099 24.338
3086 4.461 0.851 43.924
3183 2.533 2.87 6.17
3514 4.952 0.181 41.466
3549 2.801 1.212 35.214
3297 4.691 1.839 15.377
3047 3.62 0.383 53.14
3303 3.873 2.569 18.076
3353 2.304 0.624 9.513
3008 5.18 2.422 30.827
3244 3.358 1.347 20.563
3594 4.127 1.611 54.15
3480 3.473 2.642 50.037
3209 4.019 0.316 28.491
3117 2.842 1.954 38.744
3393 4.65 1.092 5.408
3386 2.416 2.02 30.74
3115 5.069 1.03 9.116
3211 3.234 2.761 53.849
3487 4.25 0.189 20.381
3597 3.408 1.407 27.919
3251 4.083 1.542 49.373
3000 2.918 0.748 4.622
3351 4.574 2.301 38.295
3305 3.1 0.496 43.421
3053 4.385 2.458 23.498
3291 2.469 1.284 40.749
3547 5.016 1.758 5.545
3507 2.678 2.977 15.249
3180 4.815 0.065 34.966
3089 3.731 2.177 17.733
3421 3.761 0.776 53.107
3432 3.643 2.61 2.017
3105 3.847 0.436 37.409
3164 2.775 1.798 27.033
3495 4.716 1.16 46.768
3531 2.556 0.128 56.454
3279 4.93 2.83 21.268
3065 3.003 0.905 31.626
3322 4.483 2.141 11.72
3372 2.816 1.039 16.847
3026 4.675 1.912 50.502
3226 3.497 0.368 12.644
3576 3.994 2.682 34.08
3461 3.337 1.651 41.635
3190 4.149 1.399 8.15
3137 2.328 2.381 46.026
3412 5.159 0.57 24.384
3396 3.213 1.263 11.376
3142 4.273 1.691 32.824
3206 2.345 0.516 22.453
3455 5.142 2.526 56.121
3570 2.986 2.244 48.14
3240 4.505 0.798 26.514
3032 3.433 2.909 36.874
3357 4.058 0.045 3.404
3335 2.491 2.787 25.779
3062 4.995 0.261 45.498
3266 3.172 1.993 7.638
3534 4.314 0.956 43.013
3499 3.661 0.675 33.754
3151 3.829 2.274 13.836
3102 2.652 1.481 51.706
3445 4.839 1.568 16.508
3424 2.754 0.295 39.479
3076 4.739 2.656 4.291
3177 3.572 1.112 49.026
3520 3.92 1.939 29.118
3560 3.071 2.407 19.848
3287 4.414 0.644 55.235
3041 2.58 1.625 10.489
3309 4.905 1.326 30.219
3345 3.519 1.866 52.593
3016 3.972 1.18 19.113
3257 2.888 2.543 36.359
3582 4.604 0.415 14.722
3472 2.258 0.885 6.752
3217 5.227 2.074 40.409
3130 3.311 0.149 23.173
3380 4.173 2.897 44.611
3382 2.713 0.901 28.84
3128 4.803 2.148 48.452
3219 3.719 0.13 3.824
3469 3.796 2.819 39.093
3584 3.135 1.788 29.833
3255 4.373 1.161 10.023
3018 2.457 2.618 54.661
3342 5.051 0.432 19.57
3311 3.397 2.376 14.437
3038 4.118 0.578 35.778
3289 2.953 1.652 18.64
3558 4.562 1.389 52.2
3522 2.404 0.358 44.219
3174 5.104 2.684 22.7
3079 3.27 1.046 39.828
3422 4.238 1.908 6.466
3448 3.372 0.729 55.547
3100 4.138 2.317 22.175
3153 2.316 1.43 32.438
3497 5.194 1.529 10.909
3537 2.851 2.748 2.938
3264 4.663 0.211 36.488
3064 3.485 2.036 26.235
3333 4.029 1.01 47.566
3359 2.544 2.158 42.433
3029 4.965 0.793 7.352
3243 3.038 2.999 45.105
3568 4.471 0.052 25.305
3457 3.631 1.27 16.035
3203 3.882 1.78 51.314
3145 2.81 0.511 13.55
3394 4.704 2.44 33.173
3409 3.696 1.632 47.235
3138 3.817 1.322 27.419
3188 2.64 2.397 37.687
3463 4.874 0.645 2.591
3573 2.526 1.114 12.295
3228 4.983 1.928 31.905
3024 3.16 0.291 21.654
3374 4.349 2.663 56.92
3320 2.974 0.156 34.554
3068 4.54 2.893 13.037
3276 3.468 0.874 50.787
3533 4.046 2.076 17.427
3493 3.201 2.544 24.965
3166 4.308 0.405 46.311
3103 2.38 1.861 8.543
3435 5.13 1.188 42.108
3418 2.293 2.926 20.768
3091 5.215 0.025 54.316
3178 3.299 2.232 9.689
3510 4.209 0.819 31.018
3545 3.554 0.538 38.574
3293 3.961 2.512 5.196
3052 2.876 1.244 49.839
3308 4.639 1.707 28.305
3348 3.059 1.497 5.938
3003 4.449 1.55 41.222
3249 2.615 0.662 24.079
3599 4.893 2.297 43.706
3484 2.742 2.015 53.393
3214 4.774 0.943 18.314
3113 3.607 2.768 35.439
3388 3.908 0.278 15.641
3391 3.182 2.705 40.973
3120 4.326 0.344 5.811
3206 2.504 1.888 43.672
3482 5.004 1.061 23.737
3592 2.665 0.593 17.475
3247 4.85 2.356 52.888
3005 3.672 1.375 15.018
3355 3.844 1.674 34.72
3301 2.357 1.134 53.65
3049 5.15 1.82 20.198
3295 3.223 0.457 30.568
3552 4.285 2.584 8.905
3512 3.443 2.115 4.801
3185 4.072 0.926 38.486
3084 2.999 2.851 28.125
3416 4.516 0.103 49.536
3437 2.898 1.737 12.467
3110 4.616 1.309 33.888
3159 3.532 2.484 16.642
3491 3.982 0.474 50.337
3526 3.325 0.756 46.223
3274 4.185 2.203 24.57
3070 2.268 0.091 41.805
3327 5.241 2.956 8.362
3367 3.585 0.213 27.293
3021 3.929 2.738 46.985
3230 2.763 1.006 2.249
3580 4.751 2.044 37.653
3465 2.591 2.325 31.401
3195 4.919 0.726 11.456
3132 3.084 1.519 56.201
3407 4.425 1.432 21.03
3401 2.48 0.39 7.801
3147 5.03 2.564 43.219
3201 3.114 1.202 25.969
3450 4.396 1.84 45.676
3565 3.743 2.871 51.496
3236 3.771 0.17 16.336
3037 2.687 2.095 33.57
3361 4.827 0.858 13.637
3330 3.249 1.961 22.208
3057 4.261 1.088 55.89
3270 2.427 2.632 11.156
3539 5.082 0.318 32.566
3504 2.927 1.349 37.113
3156 4.587 1.601 3.656
3097 3.421 0.619 48.406
3440 4.093 2.43 26.738
3429 3.508 0.981 36.121
3081 4.007 1.97 14.47
3172 2.83 0.239 52.328
3516 4.685 2.811 18.887
3555 2.339 1.593 23.418
3282 5.168 1.458 44.844
3046 3.346 2.252 6.968
3314 4.162 0.699 40.668
3340 2.789 2.504 49.239
3011 4.726 0.542 29.289
3261 3.655 1.716 39.664
3586 3.861 1.242 4.488
3476 3.012 0.023 10.324
3222 4.496 2.935 30.015
3126 2.568 0.823 19.656
3375 4.94 2.223 55.058
3376 2.575 2.555 13.789
3124 4.935 0.393 33.372
3221 3.019 1.849 16.245
3478 4.49 1.198 51.539
3587 3.648 0.167 45.774
3261 3.866 2.88 25.932
3010 2.782 0.862 43.075
3342 4.732 2.086 8.006
3315 3.341 1.079 26.882
3044 4.168 1.964 48.201
3281 2.335 0.326 3.558
3556 5.175 2.629 37.15
3517 2.835 1.598 32.657
3171 4.679 1.358 11.113
3079 3.513 2.432 55.739
3430 4.001 0.611 22.405
3441 3.416 1.98 40.47
3096 4.099 0.977 7.12
3154 2.922 2.803 44.888
3505 4.593 0.242 23.327
3540 2.432 1.461 18.851
3269 5.076 1.584 52.426
3056 3.253 0.696 14.674
3331 4.254 2.26 35.976
3363 2.694 0.55 54.853
3036 4.822 2.502 19.801
3235 3.75 1.233 30.051
3566 3.765 1.72 10.226
3452 3.107 2.938 4.444
3200 4.401 0.014 39.755
3146 2.473 2.22 29.487
3402 5.035 0.832 49.087
3406 3.09 0.347 34.811
3133 4.418 2.696 14.974
3196 2.596 1.059 52.737
3464 4.912 1.896 17.673
3580 2.758 2.366 23.882
3231 4.758 0.59 43.467
3023 3.579 1.665 5.714
3366 3.936 1.378 41.009
3325 2.262 1.822 49.634
3071 5.246 1.125 28.088
3275 3.318 2.581 38.341
3525 4.189 0.466 5.006
3489 3.538 0.935 9.056
3160 3.977 2.113 30.37
3111 2.904 0.094 20.107
3436 4.611 2.854 53.694
3415 2.993 1.306 8.319
3085 4.521 1.745 41.896
3186 3.437 0.477 24.768
3510 4.077 2.475 46.072
3551 3.229 2.194 50.132
3296 4.28 0.758 16.787
3050 2.364 2.965 33.925
3300 5.146 0.087 12.369
3354 3.677 2.735 20.993
3006 3.836 0.222 56.299
3248 2.671 2.046 11.661
3591 4.843 0.998 31.256
3481 2.499 0.717 37.455
3208 5.011 2.328 2.401
3121 3.177 1.44 47.028
3390 4.333 1.517 27.202
3387 3.601 1.313 56.857
3114 3.913 1.635 21.671
3215 2.735 0.654 32.029
3483 4.778 2.394 12.123
3598 2.621 1.925 2.474
3250 4.888 1.122 37.865
3004 3.065 2.667 27.49
3348 4.444 0.281 47.224
3307 2.882 2.884 42.038
3053 4.632 0.16 8.553
3294 3.56 2.084 46.428
3543 3.954 0.872 24.787
3508 3.294 0.402 17.303
3179 4.216 2.553 50.959
3092 2.287 1.19 13.1
3417 5.222 1.853 34.537
3433 2.385 0.034 28.322
3104 5.123 2.923 49.776
3167 3.207 0.811 5.025
3492 4.301 2.234 38.697
3532 3.462 2.516 31.197
3277 4.053 0.529 9.572
3069 2.969 1.704 54.306
3319 4.547 1.253 20.838
3373 3.154 1.558 15.651
3025 4.354 1.494 35.369
3229 2.52 2.288 18.135
3572 4.988 0.665 53.51
3462 2.646 0.946 43.878
3189 4.869 2.007 23.955
3140 3.703 0.275 41.205
3408 3.813 2.777 6.002
3395 2.805 2.152 19.446
3144 4.71 0.891 54.832
3202 3.627 2.817 10.086
3459 3.889 0.139 29.816
3569 3.043 1.17 39.023
3242 4.465 1.785 3.834
3028 2.549 0.423 48.569
3360 4.959 2.62 28.662
3333 3.492 0.58 6.349
3063 4.023 2.368 40.006
3262 2.858 1.386 22.77
3538 4.658 1.662 44.209
3498 2.309 2.693 52.136
3152 5.199 0.355 18.657
3098 3.365 1.899 35.902
3449 4.143 1.049 14.266
3423 3.277 2.314 47.737
3077 4.233 0.738 26.111
3173 2.411 1.532 36.471
3523 5.098 1.42 3.001
3559 2.946 0.202 10.919
3288 4.568 2.751 32.367
3037 3.39 1.019 21.997
3313 4.124 2.033 55.664
3344 2.452 0.79 33.351
3017 5.057 2.167 13.434
3254 3.13 0.054 51.303
3585 4.379 2.99 16.105
3470 3.724 1.771 25.322
3218 3.79 1.274 45.042
3127 2.717 2.448 7.181
3384 4.796 0.509 42.557
3381 3.306 1.693 3.395
3129 4.181 1.254 36.945
3216 2.252 2.523 26.691
3473 5.234 0.525 48.022
3583 2.894 0.806 55.95
3256 4.597 2.242 22.578
3015 3.525 0.036 32.84
3346 3.966 2.913 11.312
3311 2.586 0.265 16.492
3040 4.9 2.778 51.77
3286 3.077 0.953 14.007
3561 4.409 2.002 33.629
3522 3.566 2.284 42.836
3176 3.925 0.672 7.755
3075 2.747 1.56 45.508
3425 4.743 1.483 25.708
3446 2.658 2.653 30.289
3100 4.834 0.304 10.48
3150 3.668 1.941 55.117
3500 3.825 1.104 20.026
3535 3.166 0.635 29.243
3265 4.319 2.41 48.855
3061 2.485 1.335 4.227
3336 5.0 1.622 39.496
3358 3.427 1.177 44.676
3031 4.065 1.874 23.157
3239 2.98 0.419 40.285
3571 4.511 2.533 6.922
3456 2.35 2.065 14.84
3204 5.134 0.887 36.181
3141 3.219 2.906 19.043
3397 4.266 0.146 52.602
3411 2.32 1.021 38.117
3138 5.164 2.023 4.74
3191 3.33 0.197 49.382
